Code	Terminology	Kind	Usage	Line
apps	At Ease applications folder	Enumeration	Standard Additions : File Commands	140
appt	preferred size	Property of class: application file	Finder : Files	141
appt	total partition size	Property of class: process	Finder : Legacy suite	142
appt	total partition size	Property of class: process	System Events : Processes Suite	143
apr	April	Class	AppleScript Language	144
apre	auto present	Property of class: QuickTime data	System Events : QuickTime File Suite	145
aprt	apart from	Parameter of command: Call•subroutine	AppleScript Language	146
aqui	auto quit when done	Property of class: QuickTime data	System Events : QuickTime File Suite	147
arnd	around	Parameter of command: Call•subroutine	AppleScript Language	149
as A	as	Parameter of command: display alert	Standard Additions : User Interaction	152
as  	as	Parameter of command: read	Standard Additions : File Read/Write	153
as  	as	Parameter of command: write	Standard Additions : File Read/Write	154
ascd	creation date	Enumeration	Finder : Enumerations	155
ascd	creation date	Property of class: disk item	System Events : Disk-Folder-File Suite	156
ascd	creation date	Property of class: file information	Standard Additions : File Commands	157
ascd	creation date	Property of class: item	Finder : Finder items	158
ascr	AppleScript	Property of class: application	AppleScript Language	160
asct	file creator	Property of class: file information	Standard Additions : File Commands	161
asda	default application	Property of class: file information	Standard Additions : File Commands	162
asdf	aside from	Parameter of command: Call•subroutine	AppleScript Language	163
asdr	folder	Property of class: file information	Standard Additions : File Commands	164
asfe	file information	Class	Standard Additions : File Commands	166
asfw	folder window	Property of class: file information	Standard Additions : File Commands	168
asip	icon position	Property of class: file information	Standard Additions : File Commands	169
ask	ask	Enumeration	AppleScript Language	170
ask	ask	Enumeration	Cocoa Scripting : Standard Suite	171
ask	ask	Enumeration	Standard Additions : Scripting Commands	172
askr	dialog reply	Class	Standard Additions : User Interaction	175
aslk	locked	Property of class: file information	Standard Additions : File Commands	176
aslk	locked	Property of class: item	Finder : Finder items	177
aslv	long version	Property of class: file information	Standard Additions : File Commands	178
asmo	modification date	Enumeration	Finder : Enumerations	179
asmo	modification date	Property of class: disk item	System Events : Disk-Folder-File Suite	180
asmo	modification date	Property of class: file information	Standard Additions : File Commands	181
asmo	modification date	Property of class: item	Finder : Finder items	182
asra	audio sample rate	Property of class: track	System Events : QuickTime File Suite	183
assv	short version	Property of class: file information	Standard Additions : File Commands	187
assz	audio sample size	Property of class: track	System Events : QuickTime File Suite	188
asty	file type	Property of class: alias	System Events : Disk-Folder-File Suite	190
asty	file type	Property of class: file	Finder : Files	192
asty	file type	Property of class: file	System Events : Disk-Folder-File Suite	193
asty	file type	Property of class: file information	Standard Additions : File Commands	194
asty	file type	Property of class: process	Finder : Legacy suite	195
asty	file type	Property of class: process	System Events : Processes Suite	196
asup	application support	Enumeration	Standard Additions : File Commands	197
asup	application support folder	Enumeration	Standard Additions : File Commands	198
at  	AppleTalk URL	Enumeration	Standard Additions : Internet Suite	202
at  	at	Parameter of command: Call•subroutine	AppleScript Language	203
atfa	attach action to	Command	System Events : Folder Actions Suite	204
atfn	file name	Property of class: attachment	Cocoa Scripting : Text Suite	205
attr	attribute	Class	System Events : Processes Suite	207
attr	attributes	Class	System Events : Processes Suite	208
atts	attachment	Class	Cocoa Scripting : Text Suite	209
aucd	music CD appeared	Command	Digital Hub OSAX : Digital Hub Actions	214
audd	audio data	Class	System Events : Audio File Suite	215
audf	audio file	Class	System Events : Audio File Suite	216
audf	audio files	Class	System Events : Audio File Suite	217
audi	audio characteristic	Property of class: track	System Events : QuickTime File Suite	218
aug	August	Class	AppleScript Language	221
autp	auto play	Property of class: QuickTime data	System Events : QuickTime File Suite	227
badm	administrator privileges	Parameter of command: do shell script	Standard Additions : Miscellaneous Commands	241
bcd	blank CD appeared	Command	Digital Hub OSAX : Digital Hub Actions	242
bdvd	blank DVD appeared	Command	Digital Hub OSAX : Digital Hub Actions	243
beep	beep	Command	Standard Additions : User Interaction	246
begi	begin transaction	Command	System Events : System Events Suite	248
belw	below	Parameter of command: Call•subroutine	AppleScript Language	253
bgwt	starts with	Command	AppleScript Language	260
bhit	button returned	Property of class: alert reply	Standard Additions : User Interaction	262
bhit	button returned	Property of class: dialog reply	Standard Additions : User Interaction	264
bkgo	background only	Property of class: process	System Events : Processes Suite	265
bnid	bundle identifier	Property of class: file information	Standard Additions : File Commands	269
bnth	beneath	Parameter of command: Call•subroutine	AppleScript Language	270
bold	bold	Enumeration	AppleScript Language	272
bool	boolean	Class	AppleScript Language	273
bool	boolean	Enumeration	Standard Additions : File Read/Write	274
bool	booleans	Class	AppleScript Language	275
boot	startup disk	Enumeration	Standard Additions : File Commands	276
broW	browser	Class	System Events : Processes Suite	298
broW	browsers	Class	System Events : Processes Suite	300
brow	Finder window	Class	Finder : Window classes	301
brow	Finder windows	Class	Finder : Window classes	302
bsid	beside	Parameter of command: Call•subroutine	AppleScript Language	303
btns	buttons	Parameter of command: display alert	Standard Additions : User Interaction	305
btns	buttons	Parameter of command: display dialog	Standard Additions : User Interaction	307
btwn	between	Parameter of command: Call•subroutine	AppleScript Language	308
busi	busy indicator	Class	System Events : Processes Suite	311
busi	busy indicators	Class	System Events : Processes Suite	312
busy	busy status	Property of class: disk item	System Events : Disk-Folder-File Suite	313
butT	button	Class	System Events : Processes Suite	318
butT	buttons	Class	System Events : Processes Suite	320
by  	by	Parameter of command: Call•subroutine	AppleScript Language	324
by  	by	Parameter of command: clean up	Finder : Finder items	325
by  	by	Parameter of command: sort	Finder : Finder Basics	326
bzst	busy status	Property of class: file information	Standard Additions : File Commands	327
capa	capacity	Property of class: disk	Finder : Containers and folders	333
capa	capacity	Property of class: disk	System Events : Disk-Folder-File Suite	334
capp	app	Class	AppleScript Language	335
capp	application	Class	AppleScript Language	336
capp	application	Class	Cocoa Scripting : Standard Suite	338
capp	application	Class	Finder : Finder Basics	339
capp	application	Class	Finder : Legacy suite	340
capp	application	Class	System Events : System Events Suite	341
capp	applications	Class	AppleScript Language	342
capp	applications	Class	Cocoa Scripting : Standard Suite	344
capp	applications	Class	System Events : System Events Suite	345
case	case	Enumeration	AppleScript Language	346
case	upper case	Class	AppleScript Language	347
catr	attribute run	Class	Cocoa Scripting : Text Suite	350
catr	attribute runs	Class	Cocoa Scripting : Text Suite	351
cbtn	cancel button	Parameter of command: display alert	Standard Additions : User Interaction	352
cbtn	cancel button	Parameter of command: display dialog	Standard Additions : User Interaction	353
ccat	&	Command	AppleScript Language	354
ccmp	computer-object	Class	Finder : Containers and folders	355
ccmt	cubic centimeters	Class	AppleScript Language	356
ccmt	cubic centimetres	Class	AppleScript Language	357
ccol	column	Class	System Events : Processes Suite	358
ccol	columns	Class	System Events : Processes Suite	360
cdis	disk	Class	Finder : Containers and folders	361
cdis	disk	Class	System Events : Disk-Folder-File Suite	362
cdis	disk	Property of class: item	Finder : Finder items	363
cdis	disks	Class	Finder : Containers and folders	364
cdis	disks	Class	System Events : Disk-Folder-File Suite	365
cdsk	desktop-object	Class	Finder : Containers and folders	366
cdta	arranged by creation date	Enumeration	Finder : Enumerations	367
cent	center	Enumeration	AppleScript Language	382
cfbn	short name	Property of class: file information	Standard Additions : File Commands	387
cfet	cubic feet	Class	AppleScript Language	388
cflo	text flow	Class	AppleScript Language	389
cflo	text flows	Class	AppleScript Language	390
cfol	folder	Class	Finder : Containers and folders	391
cfol	folder	Class	System Events : Disk-Folder-File Suite	392
cfol	folders	Class	Finder : Containers and folders	393
cfol	folders	Class	System Events : Disk-Folder-File Suite	394
cha	character	Class	AppleScript Language	395
cha	character	Class	Cocoa Scripting : Text Suite	396
cha	characters	Class	AppleScript Language	397
cha	characters	Class	Cocoa Scripting : Text Suite	398
chbx	checkbox	Class	System Events : Processes Suite	401
chbx	checkboxes	Class	System Events : Processes Suite	402
chcl	choose color	Command	Standard Additions : User Interaction	403
chlt	choose from list	Command	Standard Additions : User Interaction	409
chra	choose remote application	Command	Standard Additions : User Interaction	412
chur	choose URL	Command	Standard Additions : User Interaction	413
cinl	Content Index panel	Enumeration	Finder : Enumerations	414
cins	insertion point	Class	AppleScript Language	415
cins	insertion points	Class	AppleScript Language	416
citl	writing code info	Class	AppleScript Language	418
citl	writing code infos	Class	AppleScript Language	419
citm	text item	Class	AppleScript Language	420
citm	text items	Class	AppleScript Language	421
clbl	label	Class	Finder : Type Definitions	422
clic	click	Command	System Events : Processes Suite	431
clin	line	Class	AppleScript Language	434
clin	lines	Class	AppleScript Language	435
clon	duplicate	Command	AppleScript Language	440
clon	duplicate	Command	Cocoa Scripting : Standard Suite	441
clon	duplicate	Command	Finder : Standard Suite	442
clos	close	Command	AppleScript Language	445
clos	close	Command	Cocoa Scripting : Standard Suite	446
clos	close	Command	Finder : Standard Suite	447
clos	close access	Command	Standard Additions : File Read/Write	448
clpf	clipping	Class	Finder : Files	449
clpf	clippings	Class	Finder : Files	450
clrt	color table	Class	AppleScript Language	451
Clsc	opens in Classic	Property of class: application file	Finder : Files	452
clsc	Classic	Property of class: process	System Events : Processes Suite	453
clvw	column view	Enumeration	Finder : Enumerations	455
clwd	width	Property of class: column	Finder : Type Definitions	456
clwm	maximum width	Property of class: column	Finder : Type Definitions	457
clwn	minimum width	Property of class: column	Finder : Type Definitions	458
cmen	menu item	Class	AppleScript Language	459
cmet	cubic meters	Class	AppleScript Language	460
cmet	cubic metres	Class	AppleScript Language	461
cmnt	log	Command	AppleScript Language	462
cmnu	menu	Class	AppleScript Language	464
cmtr	centimeters	Class	AppleScript Language	465
cmtr	centimetres	Class	AppleScript Language	466
cnbt	cancel button name	Parameter of command: choose from list	Standard Additions : User Interaction	468
cncl	cancel	Deprecated terminology	System Events : Hidden Suite	469
cnfm	confirm	Deprecated terminology	System Events : Hidden Suite	470
cnte	count	Command	AppleScript Language	471
cnte	count	Command	Cocoa Scripting : Standard Suite	472
cnte	count	Command	Finder : Standard Suite	473
cobj	item	Class	AppleScript Language	478
cobj	item	Class	Cocoa Scripting : Standard Suite	480
cobj	item	Class	Finder : Finder items	481
cobj	item	Class	System Events : Disk-Folder-File Suite	482
cobj	item	Property of class: information window	Finder : Window classes	483
cobj	items	Class	AppleScript Language	484
cobj	items	Class	Cocoa Scripting : Standard Suite	485
cobj	items	Class	Finder : Finder items	486
cobj	items	Class	System Events : Disk-Folder-File Suite	487
coer	as	Command	AppleScript Language	490
colr	background color	Property of class: icon view options	Finder : Type Definitions	498
colr	color	Class	Cocoa Scripting : Standard Suite	499
colr	color	Property of class: attribute run	Cocoa Scripting : Text Suite	500
colr	color	Property of class: character	Cocoa Scripting : Text Suite	501
colr	color	Property of class: label	Finder : Type Definitions	504
colr	color	Property of class: paragraph	Cocoa Scripting : Text Suite	505
colr	color	Property of class: text	AppleScript Language	507
colr	color	Property of class: text	Cocoa Scripting : Text Suite	508
colr	color	Property of class: word	Cocoa Scripting : Text Suite	509
colr	colors	Class	Cocoa Scripting : Standard Suite	510
colW	color well	Class	System Events : Processes Suite	513
colW	color wells	Class	System Events : Processes Suite	515
comB	combo box	Class	System Events : Processes Suite	517
comB	combo boxes	Class	System Events : Processes Suite	519
comp	double integer	Class	AppleScript Language	520
comt	comment	Enumeration	Finder : Enumerations	521
comt	comment	Property of class: item	Finder : Finder items	522
cond	condensed	Enumeration	AppleScript Language	525
cont	contains	Command	AppleScript Language	544
copy	copy	Command	Finder : Finder Basics	562
cpar	paragraph	Class	AppleScript Language	566
cpar	paragraph	Class	Cocoa Scripting : Text Suite	567
cpar	paragraphs	Class	AppleScript Language	568
cpar	paragraphs	Class	Cocoa Scripting : Text Suite	569
cpkg	file package	Class	System Events : Disk-Folder-File Suite	570
cpkg	file packages	Class	System Events : Disk-Folder-File Suite	571
cpls	scripting components	Command	Standard Additions : Scripting Commands	572
cpnl	Comments panel	Enumeration	Finder : Enumerations	573
cprf	preferences	Class	Finder : Type Definitions	574
crel	make	Command	AppleScript Language	575
crel	make	Command	Cocoa Scripting : Standard Suite	576
crel	make	Command	Finder : Standard Suite	577
crfl	folder creation	Parameter of command: path to	Standard Additions : File Commands	578
cRGB	RGB color	Class	AppleScript Language	579
cRGB	RGB colors	Class	AppleScript Language	580
criT	critical	Enumeration	Standard Additions : User Interaction	582
crow	row	Class	System Events : Processes Suite	583
crow	rows	Class	System Events : Processes Suite	584
csel	selection-object	Class	AppleScript Language	585
cstr	C string	Class	AppleScript Language	586
cstr	C strings	Class	AppleScript Language	587
ctnr	container	Class	Finder : Containers and folders	588
ctnr	container	Property of class: disk item	System Events : Disk-Folder-File Suite	589
ctnr	container	Property of class: item	Finder : Finder items	590
ctnr	containers	Class	Finder : Containers and folders	591
cton	ASCII number	Command	Standard Additions : String Commands	592
ctrl	control panels	Enumeration	Standard Additions : File Commands	593
ctrl	control panels folder	Enumeration	Standard Additions : File Commands	594
ctrl	control panels folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	595
ctrs	trash-object	Class	Finder : Containers and folders	596
ctxt	text	Class	AppleScript Language	598
ctxt	text	Class	Cocoa Scripting : Text Suite	599
ctxt	text	Property of class: XML data	System Events : XML Suite	600
ctyp	of content type	Parameter of command: handle CGI request	Standard Additions : Internet Suite	601
cuin	cubic inches	Class	AppleScript Language	603
cura	current application	Enumeration	AppleScript Language	606
curd	current date	Command	Standard Additions : Miscellaneous Commands	610
curu	current user	Property of class: application	System Events : System Events Suite	614
cusr	current user folder	Enumeration	Standard Additions : File Commands	615
cusr	home folder	Enumeration	Standard Additions : File Commands	616
cusr	home folder	Property of class: application	System Events : System Events Suite	617
cusr	home folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	618
cust	current	Enumeration	System Events : QuickTime File Suite	619
cusv	showing	Parameter of command: choose URL	Standard Additions : User Interaction	620
cvop	column view options	Class	Finder : Type Definitions	622
cvop	column view options	Property of class: Finder window	Finder : Window classes	623
cvop	column view options	Property of class: preferences	Finder : Type Definitions	624
cwin	window	Class	AppleScript Language	625
cwin	window	Class	Cocoa Scripting : Standard Suite	627
cwin	window	Class	Finder : Window classes	628
cwin	window	Class	System Events : Processes Suite	629
cwin	window	Property of class: preferences	Finder : Type Definitions	631
cwin	windows	Class	AppleScript Language	633
cwin	windows	Class	Cocoa Scripting : Standard Suite	635
cwin	windows	Class	Finder : Window classes	636
cwin	windows	Class	System Events : Processes Suite	637
cwnd	container window	Property of class: container	Finder : Containers and folders	638
cwor	word	Class	AppleScript Language	639
cwor	word	Class	Cocoa Scripting : Text Suite	640
cwor	words	Class	AppleScript Language	641
cwor	words	Class	Cocoa Scripting : Text Suite	642
cyrd	cubic yards	Class	AppleScript Language	643
dafi	desk accessory file	Property of class: desk accessory process	Finder : Legacy suite	644
dafi	desk accessory file	Property of class: desk accessory process	System Events : Processes Suite	645
data	to	Parameter of command: set	Cocoa Scripting : Standard Suite	646
data	with data	Parameter of command: make	AppleScript Language	647
data	with data	Parameter of command: make	Cocoa Scripting : Standard Suite	648
day	day	Property of class: date	AppleScript Language	664
days	days	Property of class: application	AppleScript Language	665
dcol	default color	Parameter of command: choose color	Standard Additions : User Interaction	666
ddra	data rate	Property of class: track	System Events : QuickTime File Suite	667
dec	December	Class	AppleScript Language	669
decr	decrement	Deprecated terminology	System Events : Hidden Suite	670
degc	degrees Celsius	Class	AppleScript Language	681
degf	degrees Fahrenheit	Class	AppleScript Language	682
degk	degrees Kelvin	Class	AppleScript Language	683
dela	delay	Command	Standard Additions : User Interaction	684
dela	delay before springing	Property of class: preferences	Finder : Type Definitions	685
deli	using delimiter	Parameter of command: read	Standard Additions : File Read/Write	686
deli	using delimiters	Parameter of command: read	Standard Additions : File Read/Write	687
delo	delete	Command	AppleScript Language	688
delo	delete	Command	Cocoa Scripting : Standard Suite	689
delo	delete	Command	Finder : Standard Suite	690
delo	delete	Command	System Events : Disk-Folder-File Suite	691
desc	description	Property of class: action	System Events : Processes Suite	696
desc	description	Property of class: UI element	System Events : Processes Suite	697
desk	desktop	Enumeration	Standard Additions : File Commands	699
desk	desktop	Property of class: application	Finder : Finder Basics	700
desk	desktop folder	Enumeration	Standard Additions : File Commands	701
desk	desktop folder	Property of class: application	System Events : System Events Suite	702
desk	desktop folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	703
desk	desktop folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	704
df$$	unknown format	Enumeration	System Events : Disk-Folder-File Suite	707
df96	ISO 9660 format	Enumeration	Finder : Enumerations	708
df96	ISO 9660 format	Enumeration	System Events : Disk-Folder-File Suite	709
df??	unknown format	Enumeration	Finder : Enumerations	710
dfac	Xsan format	Enumeration	Finder : Enumerations	711
dfas	AppleShare format	Enumeration	Finder : Enumerations	712
dfas	AppleShare format	Enumeration	System Events : Disk-Folder-File Suite	713
dfau	audio format	Enumeration	Finder : Enumerations	714
dfau	audio format	Enumeration	System Events : Disk-Folder-File Suite	715
dfft	FTP format	Enumeration	Finder : Enumerations	716
dfh+	Mac OS Extended format	Enumeration	Finder : Enumerations	717
dfh+	Mac OS Extended format	Enumeration	System Events : Disk-Folder-File Suite	718
dfhf	Mac OS format	Enumeration	Finder : Enumerations	719
dfhf	Mac OS format	Enumeration	System Events : Disk-Folder-File Suite	720
dfhs	High Sierra format	Enumeration	Finder : Enumerations	721
dfhs	High Sierra format	Enumeration	System Events : Disk-Folder-File Suite	722
dflc	default location	Parameter of command: choose file	Standard Additions : User Interaction	723
dflc	default location	Parameter of command: choose file name	Standard Additions : User Interaction	724
dflc	default location	Parameter of command: choose folder	Standard Additions : User Interaction	725
dflt	default button	Parameter of command: display alert	Standard Additions : User Interaction	726
dflt	default button	Parameter of command: display dialog	Standard Additions : User Interaction	728
dfms	MS-DOS format	Enumeration	Finder : Enumerations	729
dfms	MS-DOS format	Enumeration	System Events : Disk-Folder-File Suite	730
dfmt	format	Property of class: disk	Finder : Containers and folders	731
dfmt	format	Property of class: disk	System Events : Disk-Folder-File Suite	732
dfnf	NFS format	Enumeration	Finder : Enumerations	733
dfnf	NFS format	Enumeration	System Events : Disk-Folder-File Suite	734
dfnm	default name	Parameter of command: choose file name	Standard Additions : User Interaction	735
dfnt	NTFS format	Enumeration	Finder : Enumerations	736
dfph	Apple Photo format	Enumeration	Finder : Enumerations	737
dfph	Apple Photo format	Enumeration	System Events : Disk-Folder-File Suite	738
dfpr	ProDOS format	Enumeration	Finder : Enumerations	739
dfpr	ProDOS format	Enumeration	System Events : Disk-Folder-File Suite	740
dfpu	Packet-written UDF format	Enumeration	Finder : Enumerations	741
dfqt	QuickTake format	Enumeration	Finder : Enumerations	742
dfqt	QuickTake format	Enumeration	System Events : Disk-Folder-File Suite	743
dfud	UDF format	Enumeration	Finder : Enumerations	744
dfud	UDF format	Enumeration	System Events : Disk-Folder-File Suite	745
dfuf	UFS format	Enumeration	Finder : Enumerations	746
dfuf	UFS format	Enumeration	System Events : Disk-Folder-File Suite	747
dfwd	WebDAV format	Enumeration	Finder : Enumerations	748
dfwd	WebDAV format	Enumeration	System Events : Disk-Folder-File Suite	749
diac	diacriticals	Enumeration	AppleScript Language	750
DIRE	from virtual host	Parameter of command: handle CGI request	Standard Additions : Internet Suite	754
dire	rounding	Parameter of command: round	Standard Additions : Miscellaneous Commands	755
disA	display alert	Command	Standard Additions : User Interaction	757
DISP	displaying	Parameter of command: say	Standard Additions : User Interaction	761
disp	with icon	Parameter of command: display dialog	Standard Additions : User Interaction	764
ditm	disk item	Class	System Events : Disk-Folder-File Suite	766
ditm	disk items	Class	System Events : Disk-Folder-File Suite	767
div	div	Command	AppleScript Language	768
dktw	desktop window	Class	Finder : Window classes	769
dlib	library folder	Enumeration	Standard Additions : File Commands	770
dlog	display dialog	Command	Standard Additions : User Interaction	772
dnam	displayed name	Property of class: disk item	System Events : Disk-Folder-File Suite	773
dnam	displayed name	Property of class: file information	Standard Additions : File Commands	774
dnam	displayed name	Property of class: item	Finder : Finder items	775
dnam	displayed name	Property of class: process	System Events : Processes Suite	776
docf	document file	Class	Finder : Files	778
docf	document files	Class	Finder : Files	779
docs	At Ease documents	Enumeration	Standard Additions : File Commands	781
docs	At Ease documents folder	Enumeration	Standard Additions : File Commands	782
docs	documents folder	Enumeration	Standard Additions : File Commands	783
docs	documents folder	Property of class: application	System Events : System Events Suite	784
docs	documents folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	785
docu	document	Class	AppleScript Language	786
docu	document	Class	Cocoa Scripting : Standard Suite	788
docu	document	Property of class: window	Cocoa Scripting : Standard Suite	789
docu	documents	Class	AppleScript Language	790
docu	documents	Class	Cocoa Scripting : Standard Suite	792
doex	exists	Command	AppleScript Language	795
doex	exists	Command	Cocoa Scripting : Standard Suite	796
doex	exists	Command	Finder : Standard Suite	797
doma	domain	Class	System Events : Disk-Folder-File Suite	798
doma	domains	Class	System Events : Disk-Folder-File Suite	799
domc	Classic domain object	Class	System Events : Disk-Folder-File Suite	800
domc	Classic domain objects	Class	System Events : Disk-Folder-File Suite	801
doml	local domain object	Class	System Events : Disk-Folder-File Suite	802
doml	local domain objects	Class	System Events : Disk-Folder-File Suite	803
domn	network domain object	Class	System Events : Disk-Folder-File Suite	804
domn	network domain objects	Class	System Events : Disk-Folder-File Suite	805
doms	system domain object	Class	System Events : Disk-Folder-File Suite	806
doms	system domain objects	Class	System Events : Disk-Folder-File Suite	807
domu	user domain object	Class	System Events : Disk-Folder-File Suite	808
domu	user domain objects	Class	System Events : Disk-Folder-File Suite	809
dosc	do script	Command	System Events : Hidden Suite	811
doub	double	Enumeration	System Events : QuickTime File Suite	812
doub	real	Class	AppleScript Language	813
doub	reals	Class	AppleScript Language	814
dpic	desktop picture	Property of class: application	Finder : Legacy suite	818
dpos	desktop position	Property of class: item	Finder : Finder items	819
draA	drawer	Class	System Events : Processes Suite	821
draA	drawers	Class	System Events : Processes Suite	823
dscr	description	Property of class: item	Finder : Finder items	865
dsct	run script	Command	Standard Additions : Scripting Commands	866
dsiz	data size	Command	AppleScript Language	867
dsiz	data size	Command	Finder : Standard Suite	868
dsiz	data size	Property of class: QuickTime data	System Events : QuickTime File Suite	869
dsiz	data size	Property of class: track	System Events : QuickTime File Suite	870
dspr	discloses preview pane	Property of class: column view options	Finder : Type Definitions	871
dstr	date string	Property of class: date	AppleScript Language	872
dtp$	desktop pictures folder	Property of class: domain	System Events : Disk-Folder-File Suite	874
dtpƒ	desktop pictures folder	Enumeration	Standard Additions : File Commands	875
dtpQ	desktop pictures folder	Property of class: application	System Events : System Events Suite	876
dtxt	default answer	Parameter of command: display dialog	Standard Additions : User Interaction	878
durn	duration	Property of class: QuickTime data	System Events : QuickTime File Suite	879
durn	duration	Property of class: track	System Events : QuickTime File Suite	880
eatt	AppleTalk	Enumeration	Standard Additions : User Interaction	882
eCmd	command	Enumeration	System Events : Processes Suite	884
eCnt	control	Enumeration	System Events : Processes Suite	885
ects	entire contents	Property of class: container	Finder : Containers and folders	886
ects	entire contents	Property of class: UI element	System Events : Processes Suite	887
edfa	edit action of	Command	System Events : Folder Actions Suite	891
egfp	frontmost application	Enumeration	Standard Additions : File Commands	902
eipt	IP	Enumeration	Standard Additions : User Interaction	903
ejct	eject	Command	Finder : Finder items	904
elin	type element info	Class	AppleScript Language	905
elsC	comment column	Enumeration	Finder : Enumerations	906
elsc	creation date column	Enumeration	Finder : Enumerations	907
elsk	kind column	Enumeration	Finder : Enumerations	908
elsl	label column	Enumeration	Finder : Enumerations	909
elsm	modification date column	Enumeration	Finder : Enumerations	910
elsn	name column	Enumeration	Finder : Enumerations	911
elss	size column	Enumeration	Finder : Enumerations	912
